Month;Amortization;Type
1;1500;Term
2;1500;Term
3;1500;Term
4;1500;Term
5;1500;Term
6;1500;Term
7;1500;Term
8;1500;Term
9;1500;Term
10;1500;Term
11;1500;Term
12;1500;Term
13;1500;Term
14;1500;Term
15;1500;Term
16;1500;Term
17;1500;Term
18;1500;Term
19;1500;Term
20;1500;Term
21;1500;Term
22;1500;Term
23;1500;Term
24;1500;Term
25;1500;Fee
26;1500;Fee
27;1500;Fee
28;1500;Fee
29;1500;Fee
30;1500;Fee
31;1500;Fee
32;1500;Fee
33;1500;Fee
34;1500;Fee
35;1500;Fee
36;1500;Fee
37;1500;Fee
38;1500;Fee
39;1500;Fee
40;1500;Fee
41;1500;Fee
42;1500;Fee
43;1500;Fee
44;1500;Fee
45;1500;Fee
46;1500;Fee
47;1500;Fee
48;1500;Fee
49;1000;Fee
50;1000;Fee
51;1000;Fee
52;1000;Fee
53;1000;Fee
54;1000;Fee
55;1000;Fee
56;1000;Fee
57;1000;Fee
58;1000;Fee
59;1000;Fee
60;1000;Fee
61;1000;Fee
62;1000;Fee
63;1000;Fee
64;1000;Fee
65;1000;Fee
66;1000;Fee
67;1000;Fee
68;1000;Fee
69;1000;Fee
70;1000;Fee
71;1000;Fee
72;1000;Fee
73;1000;Fee
74;1000;Fee
75;1000;Fee
76;1000;Fee
77;1000;Fee
78;1000;Fee
79;1000;Fee
80;1000;Fee
81;1000;Fee
82;1000;Fee
83;1000;Fee
84;1000;Fee
85;500;Fee
86;500;Fee
87;500;Fee
88;500;Fee
89;500;Fee
90;500;Fee
91;500;Fee
92;500;Fee
93;500;Fee
94;500;Fee
95;500;Fee
96;500;Fee
97;500;Fee
98;500;Fee
99;500;Fee
100;500;Fee
101;500;Fee
102;500;Fee
103;500;Fee
104;500;Fee
105;500;Fee
106;500;Fee
107;500;Fee
108;500;Fee
109;500;Fee
110;500;Fee
111;500;Fee
112;500;Fee
113;500;Fee
114;500;Fee
115;500;Fee
116;500;Fee
117;500;Fee
118;500;Fee
119;500;Fee
120;500;Fee
121;0;
122;0;
123;0;
124;0;
125;0;
126;0;
127;0;
128;0;
129;0;
130;0;
131;0;
132;0;
133;0;
134;0;
135;0;
136;0;
137;0;
138;0;
139;0;
140;0;
141;0;
142;0;
143;0;
144;0;
145;0;
146;0;
147;0;
148;0;
149;0;
150;0;
151;0;
152;0;
153;0;
154;0;
155;0;
156;0;
157;0;
158;0;
159;0;
160;0;
161;0;
162;0;
163;0;
164;0;
165;0;
166;0;
167;0;
168;0;
169;0;
170;0;
171;0;
172;0;
173;0;
174;0;
175;0;
176;0;
177;0;
178;0;
179;0;
180;0;
181;0;
182;0;
183;0;
184;0;
185;0;
186;0;
187;0;
188;0;
189;0;
190;0;
191;0;
192;0;
193;0;
194;0;
195;0;
196;0;
197;0;
198;0;
199;0;
200;0;
201;0;
202;0;
203;0;
204;0;
205;0;
206;0;
207;0;
208;0;
209;0;
210;0;
211;0;
212;0;
213;0;
214;0;
215;0;
216;0;
217;0;
218;0;
219;0;
220;0;
221;0;
222;0;
223;0;
224;0;
225;0;
226;0;
227;0;
228;0;
229;0;
230;0;
231;0;
232;0;
233;0;
234;0;
235;0;
236;0;
237;0;
238;0;
239;0;
240;0;
241;0;
242;0;
243;0;
244;0;
245;0;
246;0;
247;0;
248;0;
249;0;
250;0;
251;0;
252;0;
253;0;
254;0;
255;0;
256;0;
257;0;
258;0;
259;0;
260;0;
261;0;
262;0;
263;0;
264;0;
265;0;
266;0;
267;0;
268;0;
269;0;
270;0;
271;0;
272;0;
273;0;
274;0;
275;0;
276;0;
277;0;
278;0;
279;0;
280;0;
281;0;
282;0;
283;0;
284;0;
285;0;
286;0;
287;0;
288;0;
289;0;
290;0;
291;0;
292;0;
293;0;
294;0;
295;0;
296;0;
297;0;
298;0;
299;0;
300;0;
301;0;
302;0;
303;0;
304;0;
305;0;
306;0;
307;0;
308;0;
309;0;
310;0;
311;0;
312;0;
313;0;
314;0;
315;0;
316;0;
317;0;
318;0;
319;0;
320;0;
321;0;
322;0;
323;0;
324;0;
325;0;
326;0;
327;0;
328;0;
329;0;
330;0;
331;0;
332;0;
333;0;
334;0;
335;0;
336;0;
337;0;
338;0;
339;0;
340;0;
341;0;
342;0;
343;0;
344;0;
345;0;
346;0;
347;0;
348;0;
349;0;
350;0;
351;0;
352;0;
353;0;
354;0;
355;0;
356;0;
357;0;
358;0;
359;0;
360;0;
